"id","name","description","price","category","flowers","url"
"xof_peonies_027","Bouquet ""Meet the dream""","Dreamy bouquet featuring Coral Charm peonies","1250","Peonies","Peonies Coral Charm","https://xoflowers.md/peonies/"
"xof_peonies_028","Basket of flowers ""Excitement of the Heart""","Exciting mix of peony, hydrangea, herminia, matthiola, eucalyptus, rose and pampas grass","1700","Peonies","Peony / Hydrangea / Herminia / Matthiola / Eucalyptus / Rose / Pampas grass","https://xoflowers.md/peonies/"
"xof_peonies_029","Box with beautiful flowers","Elegant box arrangement with hydrangea, peony and orchid Vanda","2500","Peonies","Hydrangea / peony / orchid Vanda","https://xoflowers.md/box-with-beautiful-flowers/"
"xof_peonies_030","Basket with peonis","Short-stemmed peonies nestled comfortably in a round basket. Calm and peaceful composition that creates a summer mood and fills the day with warmth and light. Perfect gift for visits and special occasions.","3100","Peonies","Peony","https://xoflowers.md/peonies/"
"xof_peonies_031","Bouquet ""I love you""","Composition made from one variety of peonies. Peonies symbolize wealth, honor, and love in the language of flowers. Lush, delicate, fragrant bouquet rightfully considered one of the best gifts for girls and women.","6200","Peonies","Peony","https://xoflowers.md/peonies/"
"xof_peonies_032","Bright flower bouquet ""Coral Charm""","Bright, life-affirming flower trio Coral Charm. Vibrant combination of Coral Charm peonies with viburnum and eucalyptus for a fresh and elegant arrangement.","1700","Peonies","Peonies / viburnum / eucalyptus","https://xoflowers.md/peonies/"
"xof_french_001","Box with french roses","Elegant French roses with eucalyptus in premium presentation box","2250","French roses","Roses Mandala / eucalypt","https://xoflowers.md/box-with-french-roses/"
"xof_french_002","Basket with roses ""Poma Rosa""","Luxurious basket arrangement with premium roses","8700","French roses","Rose","https://xoflowers.md/basket-poma-rosa/"
"xof_french_003","Basket with flowers ""Emma""","Beautiful basket with roses and viburnum accents","3700","French roses","Rose / viburnum","https://xoflowers.md/basket-emma/"
"xof_french_004","Bouquet ""Silk evening""","Elegant evening bouquet with roses, tulips, chrysanthemum, allium and ruskus","1250","French roses","Rose / tulip / chrizantema / allium / ruskus","https://xoflowers.md/bouquet-silk-evening/"
"xof_french_005","Bouquet ""French kiss""","Classic French rose bouquet available in multiple sizes (15, 21, 31, 51 roses)","1450","French roses","Rose","https://xoflowers.md/bouquet-french-kiss/"
"xof_french_006","Basket with flowers ""The magnificence of roses""","Magnificent basket showcasing the beauty of roses with eucalyptus","4600","French roses","Rose / eucalyptus","https://xoflowers.md/basket-magnificence-of-roses/"
"xof_french_007","Box with flowers ""A gentle drop""","Delicate box arrangement with roses and eucalyptus","1550","French roses","Rose / eucalyptus","https://xoflowers.md/box-gentle-drop/"
"xof_french_008","Bouquet ""The romance of the morning""","Romantic morning bouquet with roses and eucalyptus","650","French roses","Rose / eucalyptus","https://xoflowers.md/bouquet-romance-morning/"
"xof_french_009","Bouquet ""A creamy dream""","Dreamy creamy-colored roses with eucalyptus accents","650","French roses","Rose / eucalyptus","https://xoflowers.md/bouquet-creamy-dream/"
"xof_french_010","Flowers in basket ""I miss you""","Touching basket arrangement expressing longing with roses and eucalyptus","3300","French roses","Rose / eucalyptus","https://xoflowers.md/basket-i-miss-you/"
"xof_french_011","Bouquet ""The warmth of October""","Autumn-inspired bouquet with roses, spray roses and chrysanthemum","1200","French roses","Rose / rose spray / chrizantema","https://xoflowers.md/bouquet-warmth-october/"
"xof_french_012","Basket with flowers ""Soft shades of love""","Romantic basket with roses, dianthus, wax flower, delphinium and chrysanthemum","3950","French roses","Roses / dianthus / wax flower / delphinium / chrizantema","https://xoflowers.md/basket-soft-shades-love/"
"xof_french_013","Box with flowers ""Delicate blush""","Delicate pink-toned rose box arrangement","1000","French roses","Rose","https://xoflowers.md/box-delicate-blush/"
"xof_french_014","Box with flowers ""Warmth and tenderness""","Tender box arrangement with roses, wax, lisianthus, chrysanthemum and dianthus - available in S, M, L sizes","1800","French roses","Rose / wax / lisianthus / chrizantema / dianthus","https://xoflowers.md/box-warmth-tenderness/"
"xof_french_015","Basket with flowers ""Her kiss""","Romantic basket expressing affection with roses and eucalyptus","2400","French roses","Rose / eucalypt","https://xoflowers.md/basket-her-kiss/"
"xof_french_016","Bouquet ""Montreal Mix""","Premium mixed rose bouquet inspired by Montreal elegance","3600","French roses","Rose","https://xoflowers.md/bouquet-montreal-mix/"
"xof_french_017","Box with roses ""Little miss""","Charming small box arrangement perfect for young ladies","1400","French roses","Rose","https://xoflowers.md/box-little-miss/"
"xof_french_018","Basket with roses ""Azalia""","Elegant basket arrangement named after the beautiful Azalia","2200","French roses","Roses","https://xoflowers.md/basket-azalia/"
"xof_french_019","Basket with flowers ""Sun kiss""","Sunny arrangement with viburnum, roses, gerbera, eustoma and matiola","2700","French roses","Viburnum / rose / gerbera / eustoma / matiola","https://xoflowers.md/basket-sun-kiss/"
"xof_french_020","Box with flowers ""In the embrace of spring""","Spring-inspired box with roses, hydrangea, genista and dianthus - available in S and L sizes","1900","French roses","Rose / hydrangea / genista / dianthus","https://xoflowers.md/box-embrace-spring/"
"xof_french_021","Basket with roses ""Love Valley""","Romantic basket arrangement available in 25, 31, 51 roses","2650","French roses","Roses","https://xoflowers.md/basket-love-valley/"
"xof_french_022","A basket of roses ""Scarlet Sunset""","Dramatic red rose arrangement available in 21, 35, 51 roses","2400","French roses","Roses","https://xoflowers.md/basket-scarlet-sunset/"
"xof_french_023","Bouquet ""Passion""","Passionate bouquet with Rose Nina, Rose Pink Expression, carnation and Rose Julliet - available in S, M, L sizes","1350","French roses","Rose Nina / Rose Pink Expression / carnation/ Rose Julliet","https://xoflowers.md/bouquet-passion/"
"xof_french_024","Bouquet ""Roses Mandala""","Special bouquet featuring the exquisite Roses Mandala variety","950","French roses","Roses Mandala","https://xoflowers.md/bouquet-roses-mandala/"
"xof_french_025","Bouquet ""A fiery sunset""","Vibrant sunset-inspired bouquet with roses, gerbera, lagurus and stabilized leaves","1100","French roses","Rose / gerbera / lagurus / stabilized leaves","https://xoflowers.md/bouquet-fiery-sunset/"
"xof_french_026","Basket with roses","Classic rose basket arrangement available in S, M, L sizes","1900","French roses","Rose","https://xoflowers.md/basket-with-roses/"
"xof_french_027","Bouquet ""Dawn""","Fresh morning bouquet with roses and gerbera","1500","French roses","Roses / gerbera","https://xoflowers.md/bouquet-dawn/"
"xof_french_028","Basket with flowers ""A touch of fall""","Autumn-themed basket with roses, gerbera, ruskus and chrysanthemum","2200","French roses","Roses / gerbera / ruskus / chryzantema","https://xoflowers.md/basket-touch-fall/"
"xof_french_029","Bouquet ""Gentle Autumn""","Soft autumn bouquet with roses - available in S and M sizes","1350","French roses","Roses","https://xoflowers.md/bouquet-gentle-autumn/"
"xof_french_030","Basket with flowers ""Hugging the fall""","Cozy autumn basket with roses, chrysanthemum, eustoma and berries","2250","French roses","Rose / chrysanthemum / eustoma / berries","https://xoflowers.md/basket-hugging-fall/"
"xof_french_031","Box with flowers ""A delicate gloss""","Sophisticated box with roses, hydrangea, delphinium, chrysanthemum, eustoma and eucalyptus","2600","French roses","Rose / hydrangea / delphinium / chrysanthemum / eustoma / eucalyptus","https://xoflowers.md/box-delicate-gloss/"
"xof_french_032","Basket with flowers ""A delicate fleur""","Delicate French-inspired basket featuring Roses Mandala","2700","French roses","Roses Mandala","https://xoflowers.md/basket-delicate-fleur/"
"xof_french_033","Composition in a basket ""Princess of Heart""","Royal arrangement with Roses Mondial and eucalyptus - available in S, M, L sizes","2200","French roses","Roses Mondial / eucalyptus","https://xoflowers.md/basket-princess-heart/"
"xof_french_034","Bouquet ""Reverance""","Respectful bouquet with tulips, roses, eucalyptus, geniste and ruscus","2200","French roses","Tulip / rose / eucalyptus / geniste / ruscus","https://xoflowers.md/bouquet-reverance/"
"xof_french_035","Bouquet ""Sugar candy""","Sweet bouquet combining roses with germini","1300","French roses","Roses / germini","https://xoflowers.md/bouquet-sugar-candy/"
"xof_french_036","Bouquet ""For a lady""","Elegant bouquet featuring Roses Pink Mondial","750","French roses","Roses Pink Mondial","https://xoflowers.md/bouquet-for-lady/"
"xof_french_037","Bouquet Roses Playa Blanca","Pure white Playa Blanca roses available in 11, 21, 51 roses","900","French roses","Roses Playa Blanca","https://xoflowers.md/bouquet-playa-blanca/"
"xof_french_038","Bouquet Red Roses","Classic red rose bouquet for timeless elegance","640","French roses","Roses","https://xoflowers.md/bouquet-red-roses/"
"xof_french_039","Elegant bouquet of flowers","Sophisticated arrangement with roses and matiola","1100","French roses","Roses / matiola","https://xoflowers.md/elegant-bouquet-flowers/"
"xof_french_040","Bouquet ""Juli""","Summer bouquet with roses, dianthus, tulips, asparagus and antirinium","1900","French roses","Rose / dianthus / tulip / asparagus / antirinium","https://xoflowers.md/bouquet-juli/"
"xof_french_041","Box ""Gracious dance""","Graceful box arrangement with roses, orchids and eucalyptus","1450","French roses","Rose / orchid / eucalyptus","https://xoflowers.md/box-gracious-dance/"
"xof_french_042","A box with french roses","French roses with eucalyptus in elegant box - available in S, M, L sizes","1050","French roses","Roses / eucalypt","https://xoflowers.md/box-french-roses/"
"xof_french_043","Basket with roses Hermosa","Beautiful basket featuring Roses Hermosa variety","3200","French roses","Roses Hermosa","https://xoflowers.md/basket-hermosa/"
"xof_french_044","101 roses in a basket","Grand gesture with 101 red roses in basket - available in S, M, XL sizes","2050","French roses","Red roses","https://xoflowers.md/basket-101-roses/"
"xof_french_045","Bouquet ""Love Rising""","Romantic bouquet with Roses Nina and Roses Pink Mondial - available in 11, 21, 51 roses","830","French roses","Roses Nina/ Roses Pink Mondial","https://xoflowers.md/bouquet-love-rising/"
"xof_french_046","Monobouquet of roses Playa Blanca","Pure mono-bouquet of Playa Blanca roses - available in 21, 31, 51, 81 roses","1700","French roses","Roses Playa Blanca","https://xoflowers.md/mono-playa-blanca/"
"xof_french_047","Monobouquet of Ecuadorian roses","Premium Ecuadorian roses with eucalyptus - available in 11, 21, 31, 51 roses","1000","French roses","Ecuadorian roses / Eucalypt","https://xoflowers.md/mono-ecuadorian-roses/"
"xof_french_048","Buchet ""Kylie""","Magnificent bouquet created from luxury roses of famous varieties Pink Expression, Pink Floyd, Julliet, Silva Pink - a color palette that delights the eye with the delicate freshness of its shades","4000","French roses","Trandafir: Expression, Pink Floyd, Julliet, Silva Pink","https://xoflowers.md/bouquet-kylie/"
"xof_french_049","Bouquet ""Candy""","Beautiful and bright bouquet with roses on long stems that seems to rest on a cushion of hydrangeas. Despite the size of the bouquet, it seems light and airy, perfect for giving unforgettable emotions","2600","French roses","Roses / hydrangea","https://xoflowers.md/bouquet-candy/"
"xof_french_050","Bouquet ""Sweet Love""","Delightful bouquet with Pink Floyd and Mandala roses in shades of chic pink. With long stems and delicate aroma, perfect as a gift to a loved one. Photo shows bouquet of 31 pieces","830","French roses","Rose sort Pink Floyd / Rose sort Mandala","https://xoflowers.md/bouquet-sweet-love/"
"xof_baskets_001","Box with french roses","Premium French roses with eucalyptus in elegant presentation box","2250","Basket / Boxes with flowers","Roses Mandala / eucalypt","https://xoflowers.md/box-with-french-roses/"
"xof_baskets_002","Basket with flowers ""Gentle Breath""","Gentle arrangement with hydrangea, chrysanthemum, eustoma, roses and ruskus","2020","Basket / Boxes with flowers","Hydrangea / chrysanthemum / eustoma / rose / ruskus","https://xoflowers.md/basket-gentle-breath/"
"xof_baskets_003","Flower basket ""Morning Fields""","Fresh morning arrangement with eustoma, tanacetum, scabiosa and malucela","1600","Basket / Boxes with flowers","Eustoma / tanacetum / scabiosa / malucela","https://xoflowers.md/basket-morning-fields/"
"xof_baskets_004","A box of flowers ""Summer Dream""","Summer-inspired box with eustoma, gerbera and malucela","2200","Basket / Boxes with flowers","Eustoma / gerbera / malucela","https://xoflowers.md/box-summer-dream/"
"xof_baskets_005","Box with flowers ""Pearl Love""","Luxurious arrangement with anthurium, mattiola, peony, spray roses, hydrangea and lilies","3500","Basket / Boxes with flowers","Anthurium / mattiola / peony / rose spray / hydrangea / lilia","https://xoflowers.md/box-pearl-love/"
"xof_baskets_006","Basket with flowers ""Emma""","Beautiful basket arrangement with roses and viburnum","3700","Basket / Boxes with flowers","Rose / viburnum","https://xoflowers.md/basket-emma/"
"xof_baskets_007","Basket with flowers ""Antoanetta""","Elegant arrangement with hydrangea, gerbera, roses, bush roses and allium floccon","4900","Basket / Boxes with flowers","Hydrangea / gerbera / rose / rose bush rose / allium floccon","https://xoflowers.md/basket-antoanetta/"
"xof_baskets_008","Box with flowers ""Kissing luxury""","Luxurious box with gerbera, roses, orchids, ranunculus, genista and dianthus","5200","Basket / Boxes with flowers","Gerbera / rose / orchid / ranunculus / genista / dianthus","https://xoflowers.md/box-kissing-luxury/"
"xof_baskets_009","Basket with rose ""First date""","Perfect for first dates - spray roses arrangement available in S and L sizes","2200","Basket / Boxes with flowers","Trandafir spray","https://xoflowers.md/basket-first-date/"
"xof_baskets_010","Box with flowers ""Exquisite recognition""","Sophisticated box with gerbera, roses, orchids and tulips","3800","Basket / Boxes with flowers","Gerbera / rose / orchidea / tulip","https://xoflowers.md/box-exquisite-recognition/"
"xof_baskets_011","Basket with flowers ""Versal""","Royal arrangement with hydrangea, genista, roses and spray roses","2400","Basket / Boxes with flowers","Hydrangea / genista / rose / rose spray","https://xoflowers.md/basket-versal/"
"xof_baskets_012","Basket with flowers ""The magnificence of roses""","Magnificent basket showcasing roses with eucalyptus","4600","Basket / Boxes with flowers","Rose / eucalyptus","https://xoflowers.md/basket-magnificence-roses/"
"xof_baskets_013","Box with flowers ""A gentle drop""","Delicate box arrangement with roses and eucalyptus","1550","Basket / Boxes with flowers","Rose / eucalyptus","https://xoflowers.md/box-gentle-drop/"
"xof_baskets_014","Flowers in basket ""I miss you""","Touching arrangement expressing longing with roses and eucalyptus","3300","Basket / Boxes with flowers","Rose / eucalyptus","https://xoflowers.md/basket-i-miss-you/"
"xof_baskets_015","Basket with flowers ""Honey sunset""","Warm sunset-inspired basket with roses, chrysanthemum, panicum, lagurus and viburnum","1000","Basket / Boxes with flowers","Rose / chrizantema / panicum / lagurus / viburnum","https://xoflowers.md/basket-honey-sunset/"
"xof_baskets_016","Basket with flowers ""Soft shades of love""","Romantic basket with roses, dianthus, wax flower, delphinium and chrysanthemum","3950","Basket / Boxes with flowers","Roses / dianthus / wax flower / delphinium / chrizantema","https://xoflowers.md/basket-soft-shades-love/"
"xof_baskets_017","Box with flowers ""Delicate blush""","Delicate pink-toned rose box arrangement","1000","Basket / Boxes with flowers","Rose","https://xoflowers.md/box-delicate-blush/"
"xof_baskets_018","Box with flowers ""The romance of flowers""","Romantic box with roses, spray roses, delphinium, ruscus and lisianthus - available in S, M, L sizes","1900","Basket / Boxes with flowers","Rose / rose spray / delphinium / ruscus / lisianthus","https://xoflowers.md/box-romance-flowers/"
"xof_baskets_019","Box with flowers ""Warmth and tenderness""","Tender box with roses, wax, lisianthus, chrysanthemum and dianthus - available in S, M, L sizes","1800","Basket / Boxes with flowers","Rose / wax / lisianthus / chrizantema / dianthus","https://xoflowers.md/box-warmth-tenderness/"
"xof_baskets_020","Box with flowers ""Queen""","Royal box arrangement with hydrangea and spray roses","11500","Basket / Boxes with flowers","Hydrangea / roses spray","https://xoflowers.md/box-queen/"
"xof_baskets_021","Box with hydrangea","Pure hydrangea box arrangement for elegant occasions","6900","Basket / Boxes with flowers","Hydrangea","https://xoflowers.md/box-hydrangea/"
"xof_baskets_022","Basket with flowers ""Her kiss""","Romantic basket expressing affection with roses and eucalyptus","2400","Basket / Boxes with flowers","Rose / eucalypt","https://xoflowers.md/basket-her-kiss/"
"xof_baskets_023","Box with flowers ""For love""","Love-themed box with hydrangea, roses, eustoma and gerbera","3800","Basket / Boxes with flowers","Hydrangea / rose / eustoma / gerbera","https://xoflowers.md/box-for-love/"
"xof_baskets_024","Composition in a cachepot ""Victoria's Garden""","Garden-inspired cachepot with roses, gladiolus, astra, gerbera and lisianthus","1200","Basket / Boxes with flowers","Rose / gladiolus / astra / gerbera / lisianthus","https://xoflowers.md/cachepot-victorias-garden/"
"xof_baskets_025","Flower box ""Miracles""","Miraculous arrangement with hydrangea, eustoma, mint and chrysanthemum","3300","Basket / Boxes with flowers","Hydrangea / eustoma / mint / chryzantema","https://xoflowers.md/box-miracles/"
"xof_baskets_026","Basket with flowers ""Loving heart""","Heart-shaped basket with peonies and hydrangeas","5100","Basket / Boxes with flowers","Peony / hydrangea","https://xoflowers.md/basket-loving-heart/"
"xof_baskets_027","Basket with peonies","Premium peony basket arrangement","6100","Basket / Boxes with flowers","Peony","https://xoflowers.md/basket-peonies-premium/"
"xof_baskets_028","Basket with peonies","Standard peony basket arrangement","3100","Basket / Boxes with flowers","Peony","https://xoflowers.md/basket-peonies/"
"xof_baskets_029","Flower Basket ""Time to Dream""","Dreamy basket with hydrangea, peonies and spray roses - available in M, L, XL sizes","1800","Basket / Boxes with flowers","Hydrangea / peon / rose spray","https://xoflowers.md/basket-time-to-dream/"
"xof_baskets_030","Box with flowers ""Summer morning""","Fresh summer morning box with hydrangea, gerbera, peony, eustoma and mattiola","2000","Basket / Boxes with flowers","Hydrangea / gerbera / peony / eustoma / mattiola","https://xoflowers.md/box-summer-morning/"
"xof_baskets_031","Box with hydrangea ""She's the only one!""","Special hydrangea box for that one special person","8300","Basket / Boxes with flowers","Hydrangea","https://xoflowers.md/box-hydrangea-shes-the-only-one/"
"xof_baskets_032","Box with roses ""Little miss""","Charming small rose box perfect for young ladies","1400","Basket / Boxes with flowers","Rose","https://xoflowers.md/box-little-miss/"
"xof_baskets_033","Box with flowers","Mixed flower box with hydrangea, peony, eustoma and eucalyptus","2950","Basket / Boxes with flowers","Hydrangea / peony / eustoma / eucalypt","https://xoflowers.md/box-with-flowers/"
"xof_baskets_034","Basket with peonies Coral Charm","Coral Charm peonies in elegant basket - available in S, M, L, XL sizes","1450","Basket / Boxes with flowers","Peonies","https://xoflowers.md/basket-peonies-coral-charm/"
"xof_baskets_035","Basket with roses ""Azalia""","Elegant Azalia rose basket arrangement","2200","Basket / Boxes with flowers","Roses","https://xoflowers.md/basket-azalia/"
"xof_baskets_036","Basket with flowers ""Sun kiss""","Sunny arrangement with viburnum, roses, gerbera, eustoma and matiola","2700","Basket / Boxes with flowers","Viburnum / rose / gerbera / eustoma / matiola","https://xoflowers.md/basket-sun-kiss/"
"xof_baskets_037","Box with flowers ""The lilac meadow""","Lilac-themed meadow box with gerbera, roses, matiola and tulips","1650","Basket / Boxes with flowers","Gerbera / rose / matiola / tulip","https://xoflowers.md/box-lilac-meadow/"
"xof_baskets_038","Box with flowers ""In the embrace of spring""","Spring embrace box with roses, hydrangea, genista and dianthus - available in S and L sizes","1900","Basket / Boxes with flowers","Rose / hydrangea / genista / dianthus","https://xoflowers.md/box-embrace-spring/"
"xof_baskets_039","Basket with roses ""Love Valley""","Love Valley rose basket - available with 25, 31, 51 roses","2650","Basket / Boxes with flowers","Roses","https://xoflowers.md/basket-love-valley/"
"xof_baskets_040","A basket of roses ""Scarlet Sunset""","Dramatic scarlet sunset roses - available with 21, 35, 51 roses","2400","Basket / Boxes with flowers","Roses","https://xoflowers.md/basket-scarlet-sunset/"
"xof_baskets_041","Flower box ""Meringue""","Sweet meringue-inspired box with ranunculus, roses, carnation and hydrangea - available in S and M sizes","1600","Basket / Boxes with flowers","Ranunculus / rose / carnation / hydrangea","https://xoflowers.md/box-meringue/"
"xof_baskets_042","Heart ""LOVE IS""","Heart-shaped arrangement with gypsophila - available in S, M, L sizes","1250","Basket / Boxes with flowers","Gypsophila","https://xoflowers.md/heart-love-is/"
